Attraction	Review Title	Review	Annotation
Glebe	Close to town but hidden away	Glebe is fantastic it is full of little parkways and water side walks. It is very close to the city but you wouldn't know it! When in Sydney taking a walk along Glebe Point Rd down to the water is well worth it there are lots of cafes and restaurants at an affordable price which makes for a fantastic atmosphere!	Cultural
Glebe	Nice to wander	Wander down the main street, there are plaenty or restaurants & cafes. Also, gallerys & antique shops on and off the main drag. Markets there every Saturday are quite good, a lot of second hand clothes but often there are good quality, hand made items. Definitely try "Friend in Hand" pub. Just a short walk down Cowper Street from Broadway and Glebe Pt Road.	Cultural
Glebe	Nothing to do on a Saturday, visit Glebe	What a wonderful place to visit on a Saturday. If you enjoy the layed back, bohemian lifestyle, then Glebe is the place to visit.This Village becomes alive on a Saturday. If your looking for a place to eat, then there are numerous, multicultural cuisines just waiting to tangtilise your taste buds. If you want a great coffee, you can't beat Mano Cafe on St John's Road, their open from 7am & make the best coffee in Glebe. The local pub, ", The AB Hotel ", (abbrieviation for the Australian British hotel), on the corner of Glebe Point Rd and Pyrmont Bridge Road is a gem. The beer may be a little expensive but the atmosphere and food are to die for. It's a haven for the locals & back packers. You can't miss visiting Glebe markets, held every saturday, there's something to suit all. Glebe has so much to offer, food, art Galleries & culture. Worth a vist !	Cultural
Sydney Olympic Park	Nice to visit	Sydney Olympic Park is nice place to visit. It is important landmark in Sydney for visitors. It is difficult to see all of it in one visit.	Cultural
Sydney Olympic Park	Love this place. So much to see and do. 	We were there for 6 days to watch a swimming competition. What a great venue. During the break of heats and finals for swimming, there was so much to do at the park. Great for kids. Train stops right at the venue. Would go back there in a heartbeat.	Cultural
Sydney Olympic Park	Great for photos!	The Sydney Olympic Park is great for photo opportunities. You'll also get the feel of the old Olympic spirit that was previously held in this city. I remember I visited this site last July 2008 and there is a small monument where you'll see the Olympics logo: a definitely must photograph spot. The Olympic stadium is well maintained and very clean.	Cultural
Sydney Olympic Park	A must see if you love nature and the outdoors	Both Bicentennial Park within the Sydney Olympic Park and Centennial park demonstrate great foresight and vision on the part of planners, public servants and politicians. Public appreciation of these fantastic assets in this wonderful city is demonstrated all day every day by the numbers of people who enjoy this space. If you're a bird watcher (like me), nature lover, walker, cyclist, jogger, enjoy picnics or barbecues, like an informal environment in the city in which to meet friends or family, or like to have time alone, Sydney's Bicentennial Park is highly recommended. There are playgrounds, picnic and barbecue areas, a cafe, cycle paths, walking and running tracks, a bird hide, and Trelliage Tower which has views over Homeush Bay and the city. I love Sydney and, sooner rather than later, plan to return to the wonderful Bicentennial Park with my binoculars semi-glued to my eyes! I will also check out areas not seen during my first visit such as the education centre in the armoury and many additional walking tracks and habitats.	Natural
Sydney Olympic Park	Magic place to explore	We rode our bikes around this awesome complex and can see just why the Sydney Olympics were so successful. Take yourself to the Armory and if there in a weekend go to Bird Life Australia. Extrordinary folk take all the mystery out of bird watching and the Eagle Cam is a must .	Natural
Museum of Sydney	I've been several times	As a long time resident of Sydney, I’d say the Museum of Sydney is the one I visit most often. While it may be small, it does have some interesting exhibitions from time to time, so planning your visit around its website is the best way to see it. Presently there is an exhibition on Iconic Australian houses which my wife and I found so interesting, it took so much time to examine every aspect that we have resolved to save the Celestial exhibit for a separate visit. Contrary to davidmydavid’s comment, it isn’t free but it isn’t expensive either especially for seniors.	Education
Museum of Sydney	Great exhibitions	We visited the Museum of Sydney during a recent overnight stay in the city. It has two exhibitions currently running that are well worth seeing: Suburban Noir: mainly police photographs taken in the '50s and '60s and art based on these photos. The exhibition gives a different and very stark but fascinating view of the era. We loved it.	Historical
Museum of Sydney	Great little museum	This was such a good museum, full of the History of a great city! It had incredible interactive displays and some very informative old film footage. The story line booths were also so interesting.	Historical
Museum of Sydney	Great insight into Sydney's history	Specifically went to see the Maragret Olley exhibition which was terrific. For visitors - both international and local to Sydney - the Museum of Sydney is a lovely space. It gives a thorough insight into the area - pre-settlement and the struggles faced by both indigenous Australians and new Australians. Highly recommend.	Historical
Museum of Sydney	Excellent overview of Sydney's history	I loved everything about this museum. In fact I would have liked to take it home with me. (Disappointingly there isn't a book to buy as a memento.) From the forecourt with the coloured depiction of the original layout of the first Government House to the exhibits inside, this is a superb place to visit. Everything is well planned and there are many aspects of life when Sydney was first colonised to interest everyone. I learned a lot from visiting the Museum of Sydney that I previously had not been aware of. `although I didn't experience it myself, I have been told the cafe is very good too.	Education
Sydney Town Hall	Icon	An important icon, and stunning example of sandstone architecture. Inside contains the world's largest pipe organ. I have performed inside it and it's always been an absolute pleasure. If you have the opportunity to go inside, definitely take it and soak in the lovely architecture.	Historical
Sydney Town Hall	Magnificient	For over 70 years, hundreds of voices from the Combined Churches Choir perform Handels Messiah in the Sydney Town Hall. You get to hear the largest grand organ in the southern hemisphere, a full orchestra and fabulous soloists perform this immortal work. This annual performance happens in the week before Christmas on a Sunday and one other during the week. This is the best opportunity to see, hear and feel the majesty of this fine old building and be a part of one of Sydney's oldest musical tradition. What more could you ask for!	Cultural
Sydney Town Hall	Must see place	just for its history , amazing beautiful piece of architecture Sydney have a wander around the grounds you will be amazed	Historical
Sydney Town Hall	A beautiful building	Some buildings just remind me of historical Australia, and the Sydney Town Hall is one of them. Beautiful columns and a large tower, the building flanked by leafy green trees and presents quite a spectacle. In the entrance alcove is some nice plaques and dedication plates. A nice building in the centre of Sydney and worth a look.	Historical
Sydney Town Hall	Historic Sydney Building	Important historic Sydney building which hosts concerts and meetings. Centrally located right at Town Hall train station. Worth a visit.	Historical
Ku-Ring-Gai Chase	Natural beauty	Ku-Ring-Gai Chase and the National Park is just a natural beauty, Great for walks, families and picnics. Great day out and to get out of Sydney CBD	Natural
Ku-Ring-Gai Chase	Steller beauty, so close to the CBD	There is so much to do and see in this beautiful green space so close to the CBD. Take a picnic and find a lofty spot to look down on the sparkling Pittwater.	Natural
Ku-Ring-Gai Chase	Great national park	Nice walks. Good views from the north end. Good place to go to get out of the city and enjoy nature.	Natural
Ku-Ring-Gai Chase	Great parks, no need to go too far	On the edge of some of Sydney's most prestigious northern suburbs, so easily accessed, though you need a car. Great walking tracks, virgin bush, wildlife for the observant; horse riding trails and stables in the area. A nice bush experience close to town.	Natural
Ku-Ring-Gai Chase	Spectacular	Gorgeous park with spectacular scenery. Definitely recommend a visit here as it is a great area to explore. We had a team building event here followed by a bbq lunch. Perfect setting.	Natural
Chinatown 	Heaven for foodies	There are so many great restaurants & 2 food courts as well. You can get a meal for as little $6. Yum cha, banquets or just a meal are all available. I've eaten at at least 10+ places in the last few years & I couldn't fault any of them for quality or service.	Hungry
Chinatown 	Bustling nighttime adventure	Chinatown at night is one of the highlights of my trip to Sydney. It's a great atmosphere. My favourites were Emperor's Garden Cakes & Bakery, Purikura Photoland and Morning Glory. Emperor's Garden Cakes & Bakery always had a queue for their Cream Puffs so we decided to try them. They were delicious and we queued up almost every night. Purikura...	Hungry
Chinatown 	Chinatown	Great place to take a stroll and have some great food. Interesting to walk through the streets and absorb the culture ! The different stores and cafes are worth checking out. Also take time to check out Paddy's Market on Wednesdays and weekends!	Cultural
Chinatown 	Friday night market experience	Absolutely loved the street vendors. Watched some amazing food being prepared and tasted some unbelievable flavours and foods.	Hungry
Chinatown 	Fun and good value	We did Chinatown at night with a group of friends and had a wonderful time. Enjoy the atmosphere - we felt safe despite some people warning us there was no trouble and the area was well patrolled.	Fun
The Domain	The great outdoors	It is huge with well-taken of lawns. Great for picnics under the numerous big trees. it is next to the Botanical Gardens and the Art Gallery	Natural
The Domain	Ideal	Combine your walk here with a trip to the Art Gallery of NSW. The art collection is fabulous, then you can stroll across the domain, down through the botanic gardens to the opera house.	Lazy
The Domain	Part of Sydney's lungs	The Domain is a lovely green space that connects the Art Gallery to the City. It's small, pleasant to walk through and adjoins the (wonderful) Botanic Gardens. Often used for free events, especially in January, the Domain historically was a space something like speakers'corner in London's Hyde Park, where anyone could get on their soapbox. (It still happens, esp on Sundays). Massive and old Moreton Bay Figs are a feature of the Domain. At sunset, they're often swamped by flying foxes, which look like bats at a distance, but are actually mamals. Don't go too near, however - they certainly bite!!	Natural
The Domain	Nice views across the harbour	Very Pleasant walk, with nice views across the Harbor. In the middle of the afternoon there are many Sydney locals jogging and exercising using the smooth pavement and grass. Very nice view of the Opera House and Sydney Harbor Bridge	Lazy
The Domain	Best route to the art gallery	A great walk, imaginatively landscaped. Great to pass by the team sports in summer, and duck under the flying foxes in the evening.	Lazy
Parliament House	A walk through the past and the present	I was lucky enough to be in Sydney when the NSW Parliament was having an Open Day, where myself and other visitors were able to wander through almost the entire building; a building which is truly impressive and worth a visit on a normal day as well. The Legislative Council and Assembly Chambers are smaller than they look on TV but beautifully furnished, the small anterooms adjacent to the Chambers make you feel as if you are back in the late 1800's and the modern Fountain Court in the heart of the building is an amazing sight. This is truly a wonderful building full of history and modern importance (sitting in the seats in the Legislative Chambers is a goosebump inducing moment) and can be enjoyed by all ages and people of all interests.	Historical
Parliament House	Piece of history	Definitely worth a visit ! Free public lunch time (1pm start) tour runs for 1 hour (Monday-Friday), no bookings required. The guides are informative, info presented in a manner easy to digest for all ages. My kids (9 and 11 yo) and I really enjoyed the experience. Look up their website prior to visiting and ensure there is no sitting ( no tours on those days)	Education
Parliament House	Democracy in action	The building reeks of history, not floor polish, it's in the very heart of the city, in Macquarie Street, and is one of the finest examples of colonial Australian architecture still extant you're likely to see.	Historical
Parliament House	History and now	This place is great to visit, especially if parliament is in session. What better way to get to know a state or country than by sitting in its parliament. Apart from the history this place provides, seeing it working was awesome.	Historical
Parliament House	A visit in history	It was very informative and interesting. Worth a visit by tourists.	Education
Martin Place	More activities	A lovely area to walk through, sit & watch people go by. Many varied activities at different times. Lovely at Christmas. Many shops all around. Beautiful buildings, Hotels & offices surrounding	Lazy
Martin Place	Check out channel 7	Beautiful shops and we were able to watch the Sunrise show being telecast and had our 5 minutes of fame on the show (in the background) and Kochie, Mel and Nat made an appearance out in Martin Place where we able to have chat with them and they signed autographs for us. A must is to enjoy a coffee and cake at the Lindt cafe whilst in Martin Place.	Fun
Martin Place	Sydney city buzz	The old centre of Sydney, where the original post office still stands, although most of it now in the possession of a major hotel chain. Martin place buzzes with city vibe. It is a meeting place, and entertaining place and a destination in it's own right. Plenty of shops and cafes, street entertainment and a prime spot for people watching,	Cultural
Martin Place	Martin Place	Very nice area and heaps of cafes and shopping (not as much as some other places, but enough for me) You can take a rest from walking on seats or steps amongst beautiful trees	Fun
Martin Place	The bars	this place has a excellent night life hidden in hte sub basements of the many offices there i am sure you will find a great place for happy hour on a friday nite here before heading up to kings cross or home	Social
The Star	Best casino	Best casino i*ve been to yet, welcoming staff, good atmosphere, plenty of pokertables (my reason for going), with both high stake and lower stakes for the amataurs. The best thing about the casino in my oppinion is the buffet restaurant, we were there during crismas, splendid buffet, seafoor galore, even oysters all kinds of meat, sushi, free soft drinks and more.	Fun
The Star	Entertainment plus	Star Casino has recently undergone large renovations and is now a huge hub for entertainment. There are great shows at the Capitol Theatre, good parking facilities, restaurants, hotel and everything else you would expect in a casino.	Fun
The Star	A whole lot better	The Star (as it is now called) is a million times better than prior to the refurb. Well worth a visit, and much more in line with a real international casino. The gaming floor is grand, there are also plenty of food and drink options. The shopping underneath is expensive offering all of the top brands. Friday and Saturday evenings are busy, however other nights of the week it is fairly quiet. I definitely recommend when in Sydney.	Fun
The Star	The new face of The Star	The Star is new. Just the lobby is spectacular, added attraction is the restaurant and food arcade and designer shops. I come here almost every month to dine and visit the shopping arcade. Its an elegant and classy atmosphere if you dine at Balla or enjoy the night at their Marquee club. In the bistro they served freshly cooked menus, from steak to any pasta of your choice, and have a wide selection of pastries and cakes made in the premises by the Pastry Chef. Service is friendly and the venue is always presented immaculately. I don't gamble , but I can see its really packed at night, all the tables in the gaming area are crowded and just so crowded every corner. But to come here to dine, then its better to come before 6:00pm to get a parking which is very expensive.	Luxurious
The Star	Nice casino with great food	This casino was big and beautiful, but a manageable size. We wish they had the video blackjack that was not "video game" style, but it was still fun. We ate at the asian restaurant inside the casino and were very pleasantly surprised at the quality and price of the food!	Fun
Kings Cross	Fun	Not much to say. A lot of crazy hooligans having a good time. Nice hotels close by. Easily accessible.	Social
Kings Cross	Great for a night out	Dodgy, dark, seedy, clubs-- kings cross is usually full on a Friday and Saturday night of all kinds of people partying the weekend away	Social
Kings Cross	Soho of Sydney	Reminds me a lot of Soho in London. A very different scene when compared to the CBD but a welcome diversion and some very interesting restaurants, bars and clubs. Not sure I'd want to be there at throwing out time though	Social
Kings Cross	Party Central	Lots of nightclubs, food, lights, people and life.	Social
Kings Cross	Nightclub district	That's all it is. A mix of good and bad clubs and bars, you just need to go where to go. Not necessarily the best place to go for partying as it gets pricey quickly and the crowd and bouncers can get aggressive. Then again, its a nightclub district and that's what you come to expect.	Social
